input_row_key,input_company_name,company_name,pointers,rank
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,New Millennium Network,4,1
1,2OPERATE A/S,2A Pharma ApS.,7,1
2,3 STEP IT A/S,3 Step IT A/S.,2,1
3,3 STEP IT AS,NIFU,7,1
4,3 Step IT Sweden AB,Proact IT Sweden,2,1
5,"3DEGREES GROUP, INC.",3Degrees Inc.,7,1
6,3Step IT Group Oy,3Step IT Group,7,1
7,A.T. KEARNEY AB,Jennies Hundsalong,2,1
8,A. T. KEARNEY PTE. LTD,Binary Core,0,1
9,AALBORG CITY,AALBORG CITY,7,1
10,ACCENTURE SERVICES AS,Accenture Norge,2,1
11,Accutics ApS,Kold Partners,7,1
12,ACOME,Immobilière Rolline,7,1
13,"ACOME XINTAI CABLES CO., LTD.",Qingdao Acome Machinery Co. Ltd.,3,1
14,ADAPT A/S,Adapt Agency,7,1
15,ADECCO A/S,Elektriker Lyngby,7,1
16,ADECCO PERSONNEL PTE LTD,Personnel & Organization Development Pte Ltd.,2,1
17,ADOBE SYSTEMS SOFTWARE IRELAND LIMITED,Adobe Systems Software Ireland,3,1
18,ADVANCED DIGITAL BROADCAST SA,ADB,3,1
19,Advanced Network Solutions Sdn Bhd,Advanced Network Solutions Sdn. Bhd.,5,1
20,ADVANSIA AS,Advansia,7,1
21,AEGER GROUP AS,Aeger Group,4,1
22,AFFIRMED NETWORKS INC,Affirmed Networks,7,1
23,Agg Power Technology (Fuzhou) Co Ltd.,AGG Power,4,1
24,AIA Berhad,AIA Public Takaful Sungai Buloh Medical Card & Hibah,2,1
25,AIG EUROPE S.A. NUF,AIG Norge,7,1
26,AKTIESELSKABET RODOVRE CENTRUM,Aktieselskabet Rødovre Centrum,7,1
27,ALLEN OVERY SHEARMAN STERLING LLP,A&O Shearman,6,1
28,ALTAIR GLOBAL RELOCATION SINGAPORE PTE. LTD.,Marubeni-Itochu Tubulars Asia,7,1
29,"AMAZON WEB SERVICES, INC.",P o STER ART,7,1
30,AMAZON WEB SERVICES EMEA SARL,TKBEL,2,1
31,"AMAZON WEB SERVICES EMEA SARL, NORWEGIAN BRANCH",Banh Mi XO,5,1
32,AMDOCS DEVELOPMENT LIMITED,Amdocs,0,1
33,"American Express Europe Denmark, filial af American Express Europe S.A., Spanien",HONDA,2,1
34,American Express Europe SA (Norway),American Express Company AS,6,1
35,ANALYSYS MASON AS,ANALYSYS,0,1
36,MASON SITE FINDER LIMITED,Mason Williams Accountants,3,1
37,ANDCO A/S,Andco A/S.,7,1
38,Annalect Denmark A/S,Annalect,7,1
39,Anne Mette Lund,Anne Mette Høy,3,1
40,ANRITSU A/S,ANRITSU,0,1
41,Aon Assessment Denmark A/S,CANEA,7,1
42,AON NORWAY AS,ECO STOR,7,1
43,APPDYNAMICS UK LTD,AppDynamic,3,1
44,APPLE DISTRIBUTION INTERNATIONAL LIMITED,Naturliga Bloggen,2,1
45,APPLE DISTRIBUTION INTERNATIONAL LIMITED,Naturliga Bloggen,4,1
46,Apple Malaysia Sdn. Bhd.,Apple Malaysia Sdn Bhd.,5,1
47,Apple South Asia (Thailand) Co Ltd,Asia biogas,3,1
48,ARELION NORWAY AS,Mixto As,6,1
49,Arelion AB,Arelion,3,1
50,ARY COMMUNICATIONS LIMITED,ARY News,3,1
51,"Ascio Technologies, Corp. Danmark - Filial af Ascio Technologies Corp. Canada",Ascio Technologies,3,1
52,ASIAINFO DENMARK ApS,Norm Denmark,3,1
53,Atea A/S,Atea Danmark,7,1
54,ATEA AS,Atea Finance AS,7,1
55,Atea Sverige AB,Atea Finance AB.,3,1
56,NP Investment A/S,Investment Fund for Developing Countries,3,1
57,ATREBO SL,Punto Recogida Amazon,5,1
